,Amount
0,14.61
1,1.0
2,197.04
3,1.0
4,23.25
5,8.99
6,8.36
7,24.18
8,7.57
9,20.87
10,39.95
11,10.59
12,8.99
13,11.5
14,129.0
15,40.0
16,87.9
17,8.99
18,49.4
19,15.0
20,155.98
21,68.4
22,0.76
23,9.95
24,1.0
25,1.0
26,102.03
27,307.13
28,19.99
29,1723.37
30,14.9
31,25.83
32,10.59
33,384.99
34,56.05
35,27.99
36,189.0
37,104.98
38,122.7
39,0.76
40,13.5
41,159.72
42,23.77
43,501.51
44,94.45
45,214.2
46,20.0
47,329.9
48,779.72
49,53.78
50,4.49
51,5.21
52,33.83
53,56.24
54,303.05
55,27.66
56,73.71
57,9.66
58,17.99
59,45.85
60,49.99
61,20.0
62,12.31
63,24.99
64,126.77
65,149.0
66,49.99
67,300.0
68,6.25
69,67.0
70,80.0
71,383.69
72,1.98
73,1.79
74,265.6
75,12.16
76,27.48
77,20.0
78,39.95
79,36.01
80,26.71
81,6.79
82,19.6
83,15.0
84,94.48
85,134.83
86,64.0
87,1.29
88,25.0
89,19.99
90,10.0
91,8.32
92,47.0
93,45.03
94,7.57
95,3.99
96,46.9
97,26.99
98,1.0
99,5.38
100,1.0
101,98.0
102,49.99
103,249.9
104,23.2
105,150.0
106,144.98
107,206.65
108,91.0
109,27.45
110,3.85
111,16.99
112,1.98
113,166.47
114,28.0
115,119.0
116,22.2
117,259.1
118,0.89
119,199.0
120,94.0
121,42.81
122,125.9
123,20.3
124,156.28
125,44.83
126,1.29
127,22.82
128,77.51
129,3.58
130,134.13
131,4.99
132,15.05
133,2.0
134,4.8
135,17.99
136,60.0
137,4.49
138,18.91
139,85.6
140,1.0
141,18.39
142,49.99
143,108.01
144,171.75
145,1.0
146,9.36
147,1.0
148,101.57
149,77.25
150,21.98
151,6.99
152,4.49
153,33.94
154,18.69
155,247.13
156,77.72
157,1.98
158,0.99
159,94.19
160,0.23
161,54.8
162,37.73
163,24.51
164,2.12
165,3.3
166,66.0
167,44.45
168,1.0
169,50.0
170,10.62
171,131.69
172,25.54
173,37.83
174,45.0
175,189.0
176,10.0
177,17.99
178,184.5
179,6.52
180,110.0
181,1.39
182,0.99
183,24.99
184,0.0
185,5.52
186,501.41
187,25.5
188,39.49
189,1.16
190,0.76
191,1.0
192,73.9
193,89.99
194,467.34
195,129.07
196,46.42
197,421.99
198,1.98
199,88.25
200,0.89
201,11.9
202,58.33
203,25.0
204,29.58
205,369.05
206,1.18
207,891.25
208,11.85
209,11.5
210,6.99
211,1.29
212,603.62
213,0.76
214,34.27
215,1.0
216,1691.02
217,30.19
218,0.89
219,89.99
220,1.79
221,9.19
222,101.45
223,0.76
224,1.0
225,267.06
226,57.35
227,156.19
228,1.0
229,37.0
230,3.82
231,120.0
232,97.49
233,98.73
234,72.0
235,609.22
236,54.99
237,132.0
238,12.9
239,178.8
240,53.53
241,18.59
242,9.4
243,9.81
244,0.77
245,14.1
246,86.0
247,157.95
248,0.79
249,79.65
250,32.04
251,59.95
252,115.95
253,99.0
254,10.0
255,7.59
256,0.89
257,0.99
258,45.0
259,1.0
260,5.93
261,0.89
262,105.34
263,0.89
264,4.95
265,50.0
266,250.0
267,950.96
268,23.55
269,609.0
270,42.45
271,65.9
272,1059.95
273,17.39
274,16.95
275,7.0
276,63.52
277,42.0
278,17.4
279,33.0
280,35.85
281,0.08
282,9.0
283,98.0
284,4.99
285,44.95
286,5.29
287,67.2
288,7.7
289,0.0
290,380.8
291,8.99
292,89.24
293,43.94
294,75.0
295,6.26
296,35.0
297,1.98
298,30.0
299,1.0
300,2.67
301,22.5
302,1.0
303,2.0
304,31.27
305,36.28
306,6.99
307,1.29
308,5.01
309,193.88
310,1.98
311,42.01
312,10.0
313,12.99
314,0.77
315,56.15
316,694.81
317,100.0
318,27.1
319,61.94
320,10.99
321,1.22
322,156.0
323,369.53
324,8.98
325,38.75
326,1.82
327,131.0
328,0.0
329,105.0
330,7.12
331,349.2
332,228.0
333,1.37
334,58.77
335,25.17
336,336.5
337,85.25
338,10.98
339,4.0
340,22.14
341,3.03
342,9.98
343,39.0
344,1.0
345,14.95
346,245.0
347,21.66
348,39.15
349,123.6
350,273.76
351,59.96
352,9.99
353,25.0
354,5.0
355,4.58
356,84.7
357,61.2
358,1068.55
359,38.7
360,454.44
361,50.0
362,0.89
363,0.89
364,3.13
365,291.42
366,49.99
367,0.76
368,76.06
369,162.65
370,1.0
371,45.0
372,1.98
373,80.0
374,32.98
375,16.22
376,74.99
377,28.0
378,14.95
379,89.08
380,34.99
381,1.0
382,1.0
383,49.07
384,8.7
385,20.0
386,1503.36
387,14.08
388,9.99
389,34.99
390,84.89
391,40.6
392,36.0
393,81.85
394,248.0
395,151.95
396,152.65
397,5.3
398,21.84
399,0.76
400,73.2
401,1.95
402,0.76
403,45.9
404,32.9
405,650.0
406,3.82
407,14.0
408,31.0
409,486.35
410,37.07
411,0.76
412,22.66
413,55.0
414,25.0
415,500.0
416,15.17
417,1.52
418,149.96
419,46.49
420,0.89
421,12.99
422,2.58
423,124.0
424,12.99
425,214.6
426,49.31
427,35.0
428,45.0
429,2.0
430,174.08
431,11.91
432,36.8
433,7.92
434,4.49
435,3.95
436,1.0
437,0.0
438,6.38
439,1.99
440,41.33
441,52.0
442,3.22
443,34.94
444,0.12
445,6.78
446,9.0
447,206.03
448,3.5
449,49.0
450,7.63
451,88.0
452,2.28
453,0.77
454,11.5
455,6.25
456,9.99
457,202.06
458,83.47
459,4.8
460,1.0
461,69.99
462,58.75
463,26.99
464,10.59
465,100.0
466,7.99
467,3.7
468,40.68
469,43.16
470,12.0
471,15.21
472,16.57
473,26.88
474,48.6
475,0.77
476,12.0
477,10.59
478,38.45
479,101.89
480,15.17
481,11.67
482,4.57
483,110.9
484,89.9
485,0.0
486,3.99
487,8.99
488,9.37
489,41.41
490,105.0
491,64.8
492,744.02
493,9.99
494,3.38
495,10.0
496,69.79
497,40.0
498,120.34
499,24.38
500,166.0
501,7.18
502,89.47
503,63.14
504,119.88
505,124.66
506,2.0
507,1.98
508,50.0
509,5.99
510,36.0
511,60.0
512,41.26
513,28.29
514,9.99
515,10.77
516,17.13
517,55.72
518,15.0
519,14.41
520,29.95
521,2108.19
522,27.06
523,64.85
524,21.93
525,0.5
526,34.94
527,83.6
528,30.43
529,37.65
530,33.35
531,158.96
532,62.0
533,29.5
534,29.99
535,108.95
536,208.46
537,1.18
538,347.0
539,25.0
540,1.0
541,68.44
542,0.89
543,74.99
544,9.99
545,8.99
546,15.99
547,12.31
548,10.64
549,315.0
550,21.24
551,113.65
552,52.48
553,252.0
554,29.98
555,418.35
556,11.5
557,9.99
558,15.0
559,12.31
560,39.86
561,0.01
562,102.0
563,5.16
564,224.55
565,1.0
566,20.0
567,15.0
568,88.95
569,228.0
570,49.49
571,1.0
572,2.69
573,61.5
574,81.55
575,10.77
576,4.49
577,14.9
578,16.4
579,312.0
580,125.15
581,60.0
582,0.99
583,0.89
584,29.99
